,Ead_NNP,Ead_reg,ontop_element,ad_place_num
910,-1.5509400367736754,-1.3417940358157205,Pt,2
911,-1.4223179817199645,-1.2865223319698087,Pt,2
912,-1.228954315185543,-1.1515390295598247,Pt,1
913,-1.910316467285156,-1.8449590475720292,Pt,3
914,-1.4472174644470188,-1.4072312393682749,Pt,2
915,-1.262831687927246,-1.0817374050694235,Pt,1
916,-1.4835820198059055,-1.3043040049731287,Pt,2
917,-1.4995503425598091,-1.29963661904429,Pt,2
918,-1.137892723083496,-0.9921724362111362,Pt,1
919,-1.1819224357604954,-1.1304506176690599,Pt,1
920,-1.6133308410644511,-1.4541519989518121,Pt,3
921,-1.1885714530944798,-1.0724020941281323,Pt,1
922,-1.3857874870300255,-1.2519050777055007,Pt,2
923,-1.1851401329040492,-1.01031313890129,Pt,1
924,-1.0482072830200142,-0.8346861665076072,Pt,1
925,-1.1035318374633718,-0.9093163629273926,Pt,1
926,-1.804609775543207,-1.6651983820272334,Pt,3
927,-1.3459291458129847,-1.3731978341364475,Rh,1
928,-1.5584082603454554,-1.5037854387503085,Rh,3
929,-1.4864249229431137,-1.3963482156897313,Rh,1
930,-1.308113574981686,-1.3741601643822028,Rh,1
931,-1.5292639732360789,-1.42648426960815,Rh,1
932,-1.3046426773071245,-1.3843032134789317,Rh,1
933,-1.3717484474182091,-1.3786316254563733,Rh,1
934,-1.3346958160400355,-1.3734057748428168,Rh,1
935,-1.629342079162596,-1.4502965291631025,Rh,1
936,-1.5978646278381294,-1.5426411256055776,Rh,3
937,-1.5735764503478942,-1.518673278464464,Rh,2
938,-1.3634500503539997,-1.4047179868112143,Rh,1
939,-1.4521594047546331,-1.3892887443479178,Rh,1
940,-1.681401729583734,-1.588871874298373,Rh,3
941,-1.7989087104797346,-1.625128197197279,Rh,3
942,-1.366658210754391,-1.3881880673025762,Rh,1
943,-1.6887707710266042,-1.513355126566685,Rh,1
944,-1.5456318855285591,-1.394715597302515,Rh,1
945,-1.6681838035583452,-1.5715886165178228,Rh,3
946,-1.5486783981323224,-1.486032684915843,Rh,2
947,-1.459844589233393,-1.4130341432915203,Rh,1
948,-1.5361061096191335,-1.5145817454554191,Rh,3
949,-1.3577604293823209,-1.3627839785384006,Rh,1
950,-1.4901628494262686,-1.4820940061975265,Rh,2
951,-1.5647115707397408,-1.4519457575764092,Rh,2
952,-2.2366786003112766,-2.0440750509252315,Ru,2
953,-1.6655445098876918,-1.6290367746172945,Ru,1
954,-2.0371665954589817,-1.9662365851920174,Ru,2
955,-1.904034137725828,-1.7290537862249795,Ru,1
956,-1.908213138580324,-1.8951287300959394,Ru,2
957,-2.003690719604486,-1.8029799801424389,Ru,1
958,-1.9108867645263627,-1.740039290260077,Ru,1
959,-1.9374332427978465,-1.7689280614015597,Ru,1
960,-1.861031055450434,-1.7836909990813494,Ru,1
961,-2.522641181945799,-2.4197641595424373,Ru,3
962,-1.9291539192199672,-1.809925251183051,Ru,1
963,-1.8038077354431108,-1.8302099224909276,Ru,2
964,-1.992043018341063,-2.017834658651806,Ru,3
965,-1.867336273193356,-1.7182878547307372,Ru,1
966,-1.8031969070434544,-1.720415792643456,Ru,1
967,-2.1104750633239693,-2.165644802105263,Ru,3
968,-1.7535901069641104,-1.6619972164324903,Ru,1
969,-1.9715123176574647,-1.758937756399511,Ru,1
970,-1.981537818908687,-1.7873151740398072,Ru,1
971,-2.3850359916686976,-2.3673391277548417,Ru,3
972,-1.9108853340148908,-1.7542054032482803,Ru,1
973,-1.8389778137206976,-1.7231066614998443,Ru,1
974,-2.105418205261227,-1.9675923351087081,Ru,2
975,-1.8280744552612296,-1.7401065865421734,Ru,1
976,-1.8705821037292496,-1.9982057392748271,Ir,2
977,-1.9099369049072283,-2.0565591793007068,Ir,2
978,-1.7562708854675302,-1.7529896080519598,Ir,1
979,-2.016181468963623,-2.159706639088032,Ir,3
980,-2.0041017532348624,-2.038550234247264,Ir,2
981,-1.7336196899414054,-1.7750234454315639,Ir,1
982,-1.7009420394897423,-1.808937581633184,Ir,1
983,-1.9074773788452168,-2.011609892267528,Ir,2
984,-1.576325416564938,-1.6800163428717396,Ir,1
985,-2.072291374206542,-2.06958045731652,Ir,2
986,-1.9993071556091309,-2.137602813809427,Ir,3
987,-1.872494697570798,-1.9312176157264007,Ir,2
988,-1.876471042633052,-2.0537646624763104,Ir,2
989,-2.071444988250727,-2.143476504123065,Ir,2
990,-2.011747837066649,-2.2327107812825178,Ir,3
991,-1.9177799224853496,-1.9139903002340701,Ir,1
992,-1.601606369018552,-1.690885640026674,Ir,1
993,-1.979146480560301,-2.11544635057317,Ir,3
994,-2.0867271423339853,-2.2638495150019056,Ir,3
995,-2.127315998077392,-2.0995488051618576,Ir,2
996,-2.1276178359985325,-2.264045951625992,Ir,3
997,-1.597812652587887,-1.6951102037117503,Ir,1
998,-1.948357105255128,-2.0659072688861784,Ir,2
999,-1.7686705589294425,-1.788436420428341,Ir,1
1000,-2.087084293365476,-2.2664137775199245,Ir,3
1001,-1.8196840286254865,-2.00356422455044,Ir,2
1002,-1.9516792297363272,-2.1392595861748536,Ir,3
1003,-1.1042566299438503,-1.3177529003931223,Pd,2
1004,-0.9115943908691406,-1.1960133466408511,Pd,1
1005,-1.3742938041686994,-1.4921511603342823,Pd,3
1006,-0.95855951309204,-1.2144045618053774,Pd,1
1007,-0.9407038688659616,-1.240196789829961,Pd,1
1008,-0.9685840606689436,-1.2153129084080156,Pd,1
1009,-0.9028186798095694,-1.1904224304239595,Pd,1
1010,-1.272062778472895,-1.461396668461953,Pd,3
1011,-1.4376239776611328,-1.5437065915101629,Pd,3
1012,-1.2192392349243155,-1.3775603009413357,Pd,2
1013,-0.8111448287963805,-1.16731830145947,Pd,1
1014,-1.2363553047180114,-1.3572184823606868,Pd,2
1015,-0.8104286193847638,-1.1840884114853014,Pd,1
1016,-0.8785552978515598,-1.1872376102369318,Pd,1
1017,-1.172190189361567,-1.3692591871812785,Pd,2
1018,-0.899872303009035,-1.225885878158985,Pd,1
1019,-1.048697948455808,-1.254016917279904,Pd,1
1020,-1.0882663726806614,-1.2384572764013788,Pd,1
1021,-1.4436483383178658,-1.5744307391967833,Pd,3
1022,-0.9966650009155282,-1.263260679765575,Pd,1
1023,-0.8843054771423366,-1.1828875073530556,Pd,1
1024,-1.1426367759704563,-1.3346862753311923,Pd,2
1025,-1.6025490760803187,-1.3933029360368583,Pt,2
1026,-1.539005756378173,-1.440432320978961,Pt,3
1027,-1.6111402511596689,-1.4616474175189837,Pt,3
1028,-1.208965301513672,-1.0026565343335727,Pt,1
1029,-1.3164858818054217,-1.091437675617301,Pt,1
1030,-1.0737805366516078,-0.9304031575673158,Pt,1
1031,-1.1490554809570357,-1.0074985833533034,Pt,1
1032,-1.752170562744138,-1.6754059302557573,Pt,3
1033,-1.6816196441650364,-1.5134862369118065,Pt,2
1034,-1.2769379615783656,-1.0959832286494064,Pt,1
1035,-1.3787794113159242,-1.1372791898058814,Pt,1
1036,-1.3476858139038033,-1.1338225856737814,Pt,1
1037,-1.400029659271243,-1.2873099331296647,Pt,2
1038,-1.404879093170161,-1.1533897036062215,Pt,2
1039,-1.1350054740905753,-1.010508287169509,Pt,1
1040,-1.0595641136169398,-0.9511449386943658,Pt,1
1041,-1.126996040344232,-0.9157562557786177,Pt,1
1042,-1.141523838043207,-0.952870545342346,Pt,1
1043,-1.267103195190427,-1.0207422504951122,Pt,1
1044,-1.253424644470213,-1.0472446791199181,Pt,1
1045,-1.1649918556213388,-0.9502786313268855,Pt,1
1046,-1.5608205795288113,-1.4741568527787092,Pt,3
1047,-1.3574495315551711,-1.3807724265405508,Rh,1
1048,-1.5484671592712402,-1.5527002835578765,Rh,3
1049,-1.58831357955932,-1.5135769440037117,Rh,2
1050,-1.491411209106445,-1.434783185301881,Rh,1
1051,-1.6362252235412544,-1.5051192869213974,Rh,2
1052,-1.407295703887934,-1.3891827765865326,Rh,1
1053,-1.3891592025756827,-1.3957502547504856,Rh,1
1054,-1.5832033157348624,-1.4910808713262833,Rh,2
1055,-1.2743186950683576,-1.3877520015543356,Rh,1
1056,-1.3086967468261683,-1.3870108579851228,Rh,1
1057,-1.6305871009826634,-1.5204726278730667,Rh,2
1058,-1.492300033569336,-1.4064159940353176,Rh,1
1059,-1.5294818878173857,-1.4191220332338068,Rh,1
1060,-1.4476037025451642,-1.4004302872915098,Rh,1
1061,-1.2770080566406223,-1.3479415535791248,Rh,1
1062,-1.5312199592590303,-1.446792234165068,Rh,1
1063,-1.5627465248107857,-1.5325676704156317,Rh,3
1064,-1.5871677398681685,-1.512093395344317,Rh,2
1065,-1.4204573631286594,-1.3668679424216323,Rh,1
1066,-1.4038920402526776,-1.4045758554487213,Rh,1
1067,-1.3501176834106374,-1.3660077953743557,Rh,1
1068,-1.6851344108581543,-1.5432422403472457,Rh,2
1069,-1.5017309188842765,-1.4216846028285774,Rh,1
1070,-1.6681623458862322,-1.561302384791127,Rh,2
1071,-1.6545472145080522,-1.5530099869557348,Rh,3
1072,-1.7545533180236808,-1.591715342562213,Rh,2
1073,-1.417860031127927,-1.4016337782958146,Rh,1
1074,-1.8001174926757777,-1.6859606305977903,Rh,3
1075,-1.7678909301757812,-1.6758627066130796,Ru,1
1076,-1.6159648895263643,-1.6187129354871905,Ru,1
1077,-1.678719043731685,-1.6531696143481254,Ru,1
1078,-1.8560833930969205,-1.8513060788938667,Ru,2
1079,-2.099594593048094,-2.0149755490901766,Ru,2
1080,-1.8718047142028809,-1.8456340338619728,Ru,2
1081,-2.226697921752927,-1.9326984760210144,Ru,1
1082,-1.559389591217041,-1.6095508168472943,Ru,1
1083,-1.920804977416994,-1.9688911042317987,Ru,3
1084,-2.0462360382080043,-1.9426288529470352,Ru,2
1085,-1.7310128211975062,-1.675687834522376,Ru,1
1086,-2.036185264587399,-1.9485219441609978,Ru,2
1087,-1.6802277565002417,-1.7326828733208166,Ru,1
1088,-1.915065765380856,-1.838139585862354,Ru,2
1089,-1.694995880126947,-1.672472840607615,Ru,1
1090,-2.1092090606689435,-2.132883793067667,Ru,3
1091,-2.0348401069641096,-1.9607232021974756,Ru,2
1092,-1.88471746444702,-1.925634331255823,Ru,3
1093,-1.9984617233276367,-1.8108133656212309,Ru,1
1094,-1.8593196868896456,-1.7293588299562348,Ru,1
1095,-1.7423319816589269,-1.6568060696500315,Ru,1
