,Ead_NNP,Ead_reg,ontop_element,struct_no,site_info
734,-2.43686676,-2.357017199,Ir,14,corner
735,-2.132153511,-2.040286893,Ir,14,edge
736,-1.74852705,-1.720562408,Ir,14,facet
737,-1.874269485,-1.895319066,Ir,14,edge
738,-2.196764946,-2.096647306,Ir,14,edge
739,-1.902384758,-1.96084771,Ir,14,corner
740,-1.762468815,-1.811812486,Ir,14,edge
741,-1.613850117,-1.56839015,Ir,14,facet
742,-2.137469292,-2.156777245,Ir,14,corner
743,-1.580406189,-1.568470228,Ir,14,facet
744,-1.984706402,-2.018026946,Ir,14,corner
745,-1.946044922,-1.952061835,Ir,14,edge
746,-1.993502617,-2.011037979,Ir,14,edge
747,-1.958425999,-2.020656326,Ir,14,corner
748,-2.250235081,-2.229081236,Ir,14,corner
749,-1.63883543,-1.64679515,Ir,14,facet
750,-1.557753563,-1.549062879,Ir,14,facet
751,-1.590423584,-1.690212314,Ir,14,facet
752,-2.180510044,-2.218692968,Ir,14,corner
753,-1.633529186,-1.647825584,Ir,14,facet
754,-1.648009777,-1.696397374,Ir,14,facet
755,-1.836361408,-1.882463421,Ir,14,edge
756,-1.939325809,-1.979727497,Ir,14,corner
757,-1.338418484,-1.290203436,Pd,14,edge
758,-0.919835567,-0.943631513,Pd,14,facet
759,-1.15810442,-1.21802083,Pd,14,edge
760,-1.19260931,-1.231732365,Pd,14,edge
761,-0.879635811,-0.957038922,Pd,14,facet
762,-0.996821404,-1.001169354,Pd,14,facet
763,-1.431921482,-1.446660123,Pd,14,corner
764,-1.099447727,-1.145708376,Pd,14,edge
765,-0.885044575,-0.969209742,Pd,14,facet
766,-1.239636898,-1.227955808,Pd,14,corner
767,-1.246819496,-1.328174984,Pd,14,corner
768,-1.287983418,-1.243003493,Pd,14,corner
769,-0.990488529,-0.956474384,Pd,14,facet
770,-1.163775921,-1.149692938,Pd,14,edge
771,-1.440853119,-1.415906847,Pd,14,corner
772,-1.313553333,-1.319591508,Pd,14,edge
773,-1.1299119,-1.049119898,Pd,14,facet
774,-1.250414848,-1.246064562,Pd,14,edge
775,-0.918532372,-0.927615224,Pd,14,facet
776,-0.870583057,-0.874174495,Pd,14,facet
777,-0.924139977,-0.928918806,Pd,14,facet
778,-1.42196846,-1.39311899,Pd,14,corner
779,-1.16345787,-1.177927272,Pd,14,edge
780,-1.694774151,-1.720710824,Pt,14,corner
781,-1.511154175,-1.545571672,Pt,14,edge
782,-1.308066845,-1.291520014,Pt,14,facet
783,-1.355886459,-1.39595726,Pt,14,edge
784,-1.075621128,-1.118090664,Pt,14,facet
785,-1.152920723,-1.135904716,Pt,14,facet
786,-1.351328373,-1.310289744,Pt,14,edge
787,-1.219890594,-1.169474018,Pt,14,facet
788,-1.056911469,-1.160408776,Pt,14,facet
789,-1.349983692,-1.301208424,Pt,14,edge
790,-1.559664249,-1.447822294,Pt,14,edge
791,-1.426076412,-1.355095771,Pt,14,facet
792,-1.677082062,-1.62222763,Pt,14,edge
793,-1.098593712,-1.126635808,Pt,14,facet
794,-1.463156223,-1.461941598,Pt,14,edge
795,-1.291291714,-1.283489851,Pt,14,facet
796,-1.056367874,-1.104522085,Pt,14,facet
797,-1.260228157,-1.259669246,Pt,14,facet
798,-1.075739861,-1.150277629,Pt,14,facet
799,-1.422686577,-1.433080038,Pt,14,edge
800,-1.250389099,-1.224097947,Pt,14,facet
801,-1.367269516,-1.401607076,Pt,14,edge
802,-1.731021881,-1.73154903,Pt,14,corner
803,-1.221953392,-1.178608772,Pt,14,facet
804,-1.558703423,-1.556944568,Pt,14,corner
805,-1.492157459,-1.454540725,Pt,14,edge
806,-1.486741066,-1.558616795,Rh,14,edge
807,-1.352235317,-1.384300939,Rh,14,facet
808,-1.852272511,-1.833357289,Rh,14,corner
809,-1.530495644,-1.570355366,Rh,14,edge
810,-1.592569351,-1.581187339,Rh,14,edge
811,-1.372979641,-1.354640669,Rh,14,facet
812,-1.465843201,-1.436488007,Rh,14,facet
813,-1.456646442,-1.407868056,Rh,14,facet
814,-1.286906242,-1.316567666,Rh,14,facet
815,-1.595019817,-1.578649861,Rh,14,edge
816,-1.365070343,-1.343200864,Rh,14,facet
817,-1.451611996,-1.418369657,Rh,14,facet
818,-1.548512936,-1.471700307,Rh,14,facet
819,-1.317563057,-1.413894652,Rh,14,facet
820,-1.534453392,-1.624836415,Rh,14,corner
821,-1.378444195,-1.355113458,Rh,14,facet
822,-1.253460884,-1.242192984,Rh,14,facet
823,-1.557504654,-1.478760478,Rh,14,facet
824,-1.409077168,-1.374189053,Rh,14,facet
825,-1.741185188,-1.70956484,Rh,14,corner
826,-1.689543247,-1.702380321,Rh,14,corner
827,-2.066106796,-1.957791621,Ru,14,facet
828,-2.244440556,-2.206169355,Ru,14,corner
829,-2.330530643,-2.102511343,Ru,14,facet
830,-2.342381954,-2.152821725,Ru,14,edge
831,-2.192911148,-1.976477937,Ru,14,facet
832,-1.71560955,-1.761193526,Ru,14,facet
833,-1.925569534,-1.912204248,Ru,14,facet
834,-1.999602318,-1.938969234,Ru,14,facet
835,-1.802404404,-1.826829111,Ru,14,facet
836,-2.00140667,-2.051343067,Ru,14,corner
837,-1.658748627,-1.713312176,Ru,14,facet
838,-1.967158318,-1.968671573,Ru,14,edge
839,-1.654592991,-1.668133765,Ru,14,facet
840,-1.775204659,-1.800832971,Ru,14,facet
841,-1.9944911,-1.95569571,Ru,14,facet
842,-1.996233463,-1.936372622,Ru,14,facet
843,-1.997567177,-1.999013826,Ru,14,edge
844,-1.796718121,-1.714460089,Ru,14,facet
845,-1.880869865,-1.953310753,Ru,14,edge
846,-1.991831303,-1.978231416,Ru,14,edge
847,-2.106205463,-2.115765942,Ru,14,corner
848,-2.005067348,-1.932295365,Ru,14,facet
849,-1.824578285,-1.834749635,Ru,14,facet
850,-1.801917553,-1.819765278,Ru,14,facet
851,-1.855068207,-1.955364142,Ru,14,edge
852,-1.997858047,-1.964156396,Ru,14,edge
853,-1.899555683,-1.923609823,Ru,14,facet
854,-2.082651615,-2.109937281,Ir,15,edge
855,-1.973417759,-2.047626889,Ir,15,corner
856,-2.089165688,-2.019150038,Ir,15,edge
857,-1.677163601,-1.702649509,Ir,15,facet
858,-1.681266785,-1.686217757,Ir,15,facet
859,-1.888323307,-1.882145701,Ir,15,edge
860,-1.919512749,-1.874841079,Ir,15,edge
861,-1.831022739,-1.809826204,Ir,15,facet
862,-1.796906948,-1.787133721,Ir,15,facet
863,-2.087246418,-2.134659518,Ir,15,corner
864,-1.83284235,-1.824139309,Ir,15,facet
865,-1.60815382,-1.80418354,Ir,15,facet
866,-2.086255074,-2.076955074,Ir,15,corner
867,-2.173545837,-2.175887292,Ir,15,corner
868,-2.027468681,-2.077490516,Ir,15,corner
869,-2.092856407,-2.113661562,Ir,15,corner
870,-1.7977705,-1.846790449,Ir,15,edge
871,-1.817439079,-1.855723557,Ir,15,edge
872,-2.113885403,-2.124289037,Ir,15,corner
873,-1.81436491,-1.895122396,Ir,15,corner
874,-0.929723263,-0.981544859,Pd,15,facet
875,-0.942128181,-0.990031152,Pd,15,facet
876,-0.961541653,-0.997365443,Pd,15,facet
877,-1.188789845,-1.131105648,Pd,15,edge
878,-1.368136406,-1.387826956,Pd,15,corner
879,-0.870899677,-0.902440792,Pd,15,facet
880,-0.907013893,-0.974835184,Pd,15,facet
881,-1.181174278,-1.198331585,Pd,15,corner
882,-0.92267704,-0.968563434,Pd,15,facet
883,-0.915446758,-0.962431146,Pd,15,facet
884,-1.365972519,-1.404638066,Pd,15,corner
885,-1.190659046,-1.227088598,Pd,15,edge
886,-0.973466396,-0.910873116,Pd,15,facet
887,-0.858037472,-0.867260326,Pd,15,facet
888,-1.110405445,-1.105825937,Pd,15,edge
