,Ead_NNP,Ead_reg,ontop_element,ad_place_num,struct_no
1122,-1.8453893661499008,-1.7662655056176118,Ir,1,17
1123,-2.3218965530395472,-2.3069468824800783,Ir,3,17
1124,-1.9711575508117631,-1.8510726574070628,Ir,1,17
1125,-2.045885562896726,-2.0875336540744494,Ir,3,17
1126,-1.9014358520507777,-1.8934887054528813,Ir,2,17
1127,-2.046597480773926,-2.036038369048588,Ir,3,17
1128,-1.162448883056638,-1.1738675435900068,Pd,2,17
1129,-0.8584508895874023,-0.9318590892225551,Pd,1,17
1130,-1.1612524986267123,-1.1954104976068438,Pd,2,17
1131,-1.0213003158569336,-1.0469109965511008,Pd,1,17
1132,-0.9385213851928677,-0.9503017079455004,Pd,1,17
1133,-0.810442447662358,-0.9087398251951407,Pd,1,17
1134,-0.9003143310546831,-0.9421783521596597,Pd,1,17
1135,-0.8963251113891602,-0.9081698914295554,Pd,1,17
1136,-0.9082746505737288,-0.9806222488664013,Pd,1,17
1137,-1.2525320053100586,-1.3428375178011331,Pd,3,17
1138,-0.8906760215759277,-0.938530101762502,Pd,1,17
1139,-1.0118932723999023,-1.0492933640251307,Pd,1,17
1140,-1.2926435470581037,-1.315373190954152,Pd,3,17
1141,-0.910599708557128,-0.9102778870333224,Pd,1,17
1142,-0.971770763397214,-1.0403044550408445,Pd,1,17
1143,-1.2706732749938991,-1.3289491613436688,Pd,3,17
1144,-0.8973197937011692,-0.9055633708726631,Pd,1,17
1145,-0.9448962211608868,-0.912006313381356,Pd,1,17
1146,-1.2752242088317862,-1.2818475719267228,Pd,2,17
1147,-0.9646306037902797,-0.9901043840757942,Pd,1,17
1148,-1.0131053924560511,-0.9968393375983603,Pd,1,17
1149,-1.1384258270263654,-1.179035080954551,Pd,2,17
1150,-0.8936595916748074,-0.9292304167132007,Pd,1,17
1151,-1.2638111114501918,-1.287334115621458,Pd,3,17
1152,-1.1182599067687995,-1.1457302750643272,Pt,1,17
1153,-1.0312094688415518,-1.119272357051514,Pt,1,17
1154,-1.5771327018737784,-1.5829993505822415,Pt,2,17
1155,-1.4832916259765652,-1.557221573343357,Pt,3,17
1156,-1.0615959167480442,-1.1725061057340134,Pt,1,17
1157,-1.47642087936401,-1.52097685916675,Pt,2,17
1158,-1.065712451934813,-1.161114299089365,Pt,1,17
1159,-1.6330876350402803,-1.590118289375201,Pt,2,17
1160,-1.0908946990966806,-1.1471420774887489,Pt,1,17
1161,-0.9977827072143528,-1.126977453744438,Pt,1,17
1162,-1.0997672080993617,-1.159893116285611,Pt,1,17
1163,-1.282160758972167,-1.2327448558475143,Pt,2,17
1164,-1.4506964683532724,-1.4563215816169235,Pt,2,17
1165,-1.1368913650512686,-1.2140478778574921,Pt,1,17
1166,-1.4651002883911115,-1.4876573734095195,Pt,2,17
1167,-1.5852694511413556,-1.5657171619335608,Pt,3,17
1168,-1.3447322845459002,-1.302821812251211,Pt,2,17
1169,-1.5978217124938947,-1.5894609019837687,Pt,3,17
1170,-1.1031990051269505,-1.085752061725016,Pt,1,17
1171,-1.5324645042419434,-1.4917974143692019,Pt,2,17
1172,-1.7159175872802734,-1.7491106205421176,Pt,3,17
1173,-1.4653277397155744,-1.4391912609159272,Pt,2,17
1174,-1.4027471542358372,-1.3907553174275857,Rh,1,17
1175,-1.885893821716305,-1.7536383531247597,Rh,3,17
1176,-1.4547944068908656,-1.4910842995482472,Rh,1,17
1177,-1.2797698974609402,-1.3470004496991326,Rh,1,17
1178,-1.688049793243409,-1.7224830247182288,Rh,3,17
1179,-1.3261780738830575,-1.3521812931645378,Rh,1,17
1180,-1.4016666412353516,-1.4132287005301114,Rh,1,17
1181,-1.455350399017334,-1.5096092289691612,Rh,2,17
1182,-1.2993845939636248,-1.22158572801356,Rh,1,17
1183,-1.6384067535400355,-1.6727435609074424,Rh,3,17
1184,-1.569128990173338,-1.5530534452078568,Rh,2,17
1185,-1.4055767059326154,-1.4390965712523822,Rh,1,17
1186,-1.641626358032223,-1.5797905629458964,Rh,2,17
1187,-1.3384523391723606,-1.3134481863161382,Rh,1,17
1188,-1.463417530059813,-1.4584740199007076,Rh,1,17
1189,-1.430377960205079,-1.4658487750805027,Rh,2,17
1190,-1.5909690856933532,-1.5577566883593632,Rh,2,17
1191,-1.6286549568176216,-1.7059045155082464,Rh,3,17
1192,-1.4600310325622576,-1.4324498844894744,Rh,1,17
1193,-1.479275703430177,-1.472019154778001,Rh,1,17
1194,-1.3424673080444345,-1.3785482802450835,Rh,1,17
1195,-1.506492614746091,-1.5220757493075647,Rh,1,17
1196,-1.4528841972351048,-1.4175866322119364,Rh,1,17
1197,-1.5069065093994087,-1.508784304955212,Rh,1,17
1198,-1.4830908775329554,-1.4952779182431786,Rh,1,17
1199,-1.684718132019043,-1.6797302776030547,Rh,2,17
1200,-1.7990889549255398,-1.7788297966896058,Rh,3,17
1201,-1.945652961730957,-1.9397069977691863,Ru,1,17
1202,-2.1832656860351545,-2.1926911106730955,Ru,3,17
1203,-2.06055736541748,-2.1375857458946714,Ru,3,17
1204,-2.053311347961424,-1.9376098306040062,Ru,1,17
1205,-2.0391836166381845,-1.9931022658257092,Ru,2,17
1206,-1.8898286819458008,-1.901392146883935,Ru,1,17
1207,-1.7687573432922346,-1.8194828506404002,Ru,1,17
1208,-2.176513671875001,-2.094750521884615,Ru,2,17
1209,-1.976330280303956,-1.936940729689306,Ru,1,17
1210,-2.1098852157592773,-2.142411493124158,Ru,3,17
1211,-2.0194129943847656,-1.9698970367211739,Ru,2,17
1212,-1.9698286056518544,-1.9623531254439122,Ru,2,17
1213,-1.7537765502929688,-1.8752016082780183,Ru,1,17
1214,-2.1349792480468697,-2.1620440456703527,Ru,3,17
1215,-1.89654731750488,-1.905918742590395,Ru,1,17
1216,-1.9340939521789515,-1.8995636661426936,Ru,1,17
1217,-1.8001399040222186,-1.7903650389078833,Ru,1,17
1218,-2.198850154876709,-2.143721406557971,Ru,2,17
1219,-1.910418510437009,-1.9570210094420406,Ru,1,17
1220,-1.9880275726318344,-1.940177793670514,Ir,2,18
1221,-1.7202363014221147,-1.7580036247021786,Ir,1,18
1222,-1.7718114852905282,-1.759932849659756,Ir,1,18
1223,-1.873129367828368,-1.7957746218477548,Ir,1,18
1224,-2.089128494262691,-1.9549843751408678,Ir,2,18
1225,-1.9177041053771933,-1.924330876277353,Ir,2,18
1226,-1.962600231170652,-2.0322192719603334,Ir,3,18
1227,-1.9260239601135227,-1.8492592409179298,Ir,1,18
1228,-1.8514218330383287,-1.8776419667377922,Ir,2,18
1229,-1.6226005554199192,-1.6298283621342688,Ir,1,18
1230,-1.561621189117429,-1.6100102118199477,Ir,1,18
1231,-1.519821166992184,-1.5428654313678742,Ir,1,18
1232,-1.7600173950195297,-1.6583540394460836,Ir,1,18
1233,-1.88755464553833,-1.8928398795998906,Ir,2,18
1234,-2.0260353088378915,-1.901160358231394,Ir,2,18
1235,-1.9963245391845688,-2.0469753044191723,Ir,3,18
1236,-1.99461221694946,-1.837031290083136,Ir,1,18
1237,-2.0071821212768555,-1.9379300032080433,Ir,2,18
1238,-0.9164700508117658,-0.9188517638106068,Pd,1,18
1239,-1.2545218467712385,-1.2879878852304252,Pd,3,18
1240,-0.9522724151611291,-0.995895779532588,Pd,1,18
1241,-1.1129736900329572,-1.129360188518197,Pd,2,18
1242,-1.2229008674621549,-1.1802092650664056,Pd,2,18
1243,-1.413934230804438,-1.4127475317995988,Pd,3,18
1244,-0.8325724601745605,-0.8782060763254436,Pd,1,18
1245,-1.41657972335815,-1.3489572159747594,Pd,2,18
1246,-1.1322469711303684,-1.0503472681805923,Pd,1,18
1247,-1.2487454414367685,-1.1917649543210869,Pd,2,18
1248,-1.1028528213500923,-1.0725536983327424,Pd,1,18
1249,-1.3975124359130868,-1.4093004232235975,Pd,3,18
1250,-1.3874349594116175,-1.4122125458997132,Pd,3,18
1251,-1.2082457542419416,-1.1746036169223009,Pd,2,18
1252,-0.8610944747924787,-0.9227740633372469,Pd,1,18
1253,-0.943229675292966,-0.9513807261407611,Pd,1,18
1254,-1.6163272857665998,-1.442257317122975,Pd,3,18
1255,-1.5059208869934038,-1.442257317122975,Pd,3,18
1256,-1.2728266716003382,-1.2271182410803185,Pd,3,18
1257,-1.2269687652587835,-1.2167831692948794,Pd,3,18
1258,-0.9183459281921352,-0.9266274549888465,Pd,1,18
1259,-0.9728655815124484,-1.0129588762110424,Pd,1,18
1260,-0.909970283508298,-0.9555992064788589,Pd,1,18
1261,-0.9939675331115732,-0.9589323347381264,Pd,1,18
1262,-0.8682136535644505,-0.9015020353811573,Pd,1,18
1263,-1.263620376586914,-1.2845296743477088,Pd,3,18
1264,-1.2858066558837846,-1.2751473514491847,Pd,3,18
1265,-1.587551116943355,-1.6134511213799165,Pt,2,18
1266,-1.575423240661619,-1.5816966346691232,Pt,3,18
1267,-1.2551097869873002,-1.2410623879388167,Pt,1,18
1268,-1.3521161079406712,-1.4321176415705292,Pt,2,18
1269,-1.2172207832336328,-1.255138939675645,Pt,1,18
1270,-1.2305107116699183,-1.1404540398435579,Pt,1,18
1271,-1.267327308654779,-1.2841099244659027,Pt,1,18
1272,-1.135031700134275,-1.1414755778149575,Pt,1,18
1273,-1.3879275321960414,-1.387516298884369,Pt,2,18
1274,-1.3523912429809517,-1.3045404060009933,Pt,1,18
1275,-1.7102756500244114,-1.670044032377569,Pt,2,18
1276,-1.3062486648559544,-1.366593372379849,Pt,1,18
1277,-1.1280989646911586,-1.175334321192986,Pt,1,18
1278,-1.4611039161682102,-1.477451880452307,Pt,2,18
1279,-1.3117041587829623,-1.2506820416055164,Pt,1,18
1280,-1.4750475883483904,-1.41122928043633,Pt,2,18
1281,-1.4455738067626944,-1.4033057757888696,Pt,2,18
1282,-1.6534705162048278,-1.7002152200169067,Pt,3,18
1283,-1.1913876533508292,-1.2951483905192165,Pt,1,18
1284,-1.5440773963928214,-1.5451816895941817,Pt,2,18
1285,-1.155647754669184,-1.1696287355644377,Pt,1,18
1286,-1.180464744567869,-1.1366796887840582,Pt,1,18
1287,-1.53151226043701,-1.5540093450387509,Pt,3,18
1288,-1.7337183952331543,-1.6792215542766025,Rh,2,18
1289,-1.4869995117187464,-1.4948156228395941,Rh,1,18
1290,-1.3827633857727024,-1.4347740645671512,Rh,1,18
1291,-1.4836030006408656,-1.4826400365125953,Rh,1,18
1292,-1.7408232688903764,-1.7759097262926578,Rh,3,18
1293,-1.5392880439758247,-1.520748592632767,Rh,1,18
1294,-1.8901448249816868,-1.7810854745745446,Rh,2,18
1295,-1.5389370918273908,-1.5228888210724691,Rh,1,18
1296,-1.3895883560180646,-1.4391464850312696,Rh,1,18
1297,-1.4478163719177175,-1.4535597588395726,Rh,1,18
1298,-1.5769472122192385,-1.578308103629747,Rh,2,18
1299,-1.5833725929260236,-1.661225742189202,Rh,3,18
1300,-1.5622467994689933,-1.5830208739566924,Rh,2,18
1301,-1.7578749656677202,-1.6833714066827734,Rh,2,18
1302,-1.7529840469360334,-1.7504616061471854,Rh,3,18
1303,-1.5418090820312471,-1.525260027680912,Rh,1,18
1304,-1.6093635559082005,-1.5767231606781598,Rh,2,18
1305,-1.6810832023620597,-1.6861831382008374,Rh,3,18
1306,-1.3744454383850035,-1.3929630771932824,Rh,1,18
1307,-1.3792843818664524,-1.4109391697632956,Rh,1,18
1308,-1.4107422828674272,-1.4805368446061884,Rh,1,18
1309,-1.4046769142150843,-1.443714048945071,Rh,1,18
